                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    211,                 2.2267,                 1.9461,                 1.7224,                0.51589,                0.25648,                0.30533,                 0.1388,                   2.25,                 2.4919,                   1.86,              0.0008712,              0.0008712,              0.0008712
                    212,                 2.1015,                 1.8782,                  1.713,                0.52375,                0.45916,                 0.4569,                0.21405,                 2.0865,                 2.0018,                 1.7343,             0.00087102,             0.00087102,             0.00087102
                    213,                  2.162,                 1.8062,                 1.7158,                0.50133,                0.26371,                0.25921,                0.11847,                 2.1641,                 2.2997,                  1.826,             0.00087084,             0.00087084,             0.00087084
                    214,                 2.0747,                 1.7988,                  1.687,                0.55963,                0.16023,                 0.1452,                0.06134,                 2.2872,                 2.4609,                 1.9333,             0.00087066,             0.00087066,             0.00087066
                    215,                 2.1478,                 1.8892,                 1.7492,                0.51798,                0.37151,                0.42532,                0.20823,                 2.0804,                 1.8746,                 1.7742,             0.00087048,             0.00087048,             0.00087048
                    216,                 2.1527,                 1.8857,                 1.7324,                0.61516,                0.45401,                0.49163,                0.25477,                 2.0033,                 1.8013,                 1.7303,              0.0008703,              0.0008703,              0.0008703
                    217,                 2.1353,                 1.7739,                 1.6894,                0.55718,                0.39963,                0.42299,                0.21214,                 2.0537,                 1.9438,                 1.7626,             0.00087012,             0.00087012,             0.00087012
                    218,                 2.0589,                 1.7914,                 1.6753,                0.53106,                0.40896,                0.41218,                0.21479,                 2.0781,                 2.0497,                 1.7698,             0.00086994,             0.00086994,             0.00086994
                    219,                 2.0993,                 1.8223,                 1.6978,                0.54212,                0.46009,                0.47823,                0.24582,                 2.0128,                 1.8504,                  1.742,             0.00086976,             0.00086976,             0.00086976
                    220,                 2.1313,                 1.8789,                 1.7013,                0.41518,                0.42505,                0.46745,                0.23629,                 2.0099,                 1.7833,                 1.7533,             0.00086958,             0.00086958,             0.00086958
                    221,                 2.1262,                 1.8086,                 1.6789,                0.62581,                0.43286,                 0.5247,                0.28225,                 1.9831,                 1.7377,                 1.7322,              0.0008694,              0.0008694,              0.0008694
                    222,                 2.1691,                  1.871,                 1.7203,                0.52705,                0.42016,                0.48905,                0.24081,                 2.0382,                 1.8385,                 1.7509,             0.00086922,             0.00086922,             0.00086922
                    223,                 2.0616,                 1.8415,                 1.6994,                0.48905,                0.21513,                0.17677,                0.07026,                 2.3824,                 2.6317,                 2.0285,             0.00086904,             0.00086904,             0.00086904
                    224,                 2.1161,                  1.751,                 1.6462,                0.50328,                0.26917,                0.23999,                0.09751,                 2.2687,                 2.2529,                 1.9038,             0.00086886,             0.00086886,             0.00086886
                    225,                 2.1001,                 1.8226,                  1.666,                0.52672,                0.44936,                0.45551,                0.22347,                 2.0565,                 1.9142,                 1.7778,             0.00086868,             0.00086868,             0.00086868
                    226,                 2.1188,                 1.8319,                 1.6909,                0.60586,                0.49487,                0.55493,                 0.2884,                 1.9372,                 1.7184,                  1.715,              0.0008685,              0.0008685,              0.0008685
                    227,                  2.045,                 1.7014,                 1.6526,                0.58852,                0.43699,                0.47249,                 0.2398,                 2.0079,                 1.8804,                 1.7636,             0.00086832,             0.00086832,             0.00086832
                    228,                 2.0665,                  1.788,                 1.6542,                0.66994,                0.42143,                0.51237,                0.22983,                 2.0521,                 1.7427,                 1.7334,             0.00086814,             0.00086814,             0.00086814
                    229,                 2.0376,                 1.8301,                  1.683,                0.63992,                0.37468,                0.45339,                0.20416,                  2.114,                 1.7566,                 1.7445,             0.00086796,             0.00086796,             0.00086796
                    230,                 2.0852,                 1.7689,                 1.6412,                0.69119,                0.33991,                0.37779,                0.17749,                 2.1602,                 1.8119,                 1.7641,             0.00086778,             0.00086778,             0.00086778
                    231,                 2.0496,                 1.8837,                 1.6929,                 0.5948,                0.41839,                 0.5054,                0.24434,                 2.0515,                 1.7104,                 1.7293,              0.0008676,              0.0008676,              0.0008676
                    232,                 2.0721,                 1.7808,                 1.6685,                0.49194,                0.26833,                0.24752,                0.11033,                 2.2708,                 2.4223,                 1.9051,             0.00086742,             0.00086742,             0.00086742
                    233,                 2.0438,                 1.7224,                 1.6477,                0.43301,                0.33016,                0.31174,                0.14257,                 2.1691,                 2.2234,                 1.8322,             0.00086724,             0.00086724,             0.00086724
                    234,                 2.0978,                 1.7654,                 1.6588,                0.62268,                0.54997,                0.59554,                0.32062,                 1.8664,                 1.5829,                 1.6549,             0.00086706,             0.00086706,             0.00086706
                    235,                 1.9858,                 1.7276,                 1.6391,                0.59524,                0.49961,                0.55496,                0.29913,                 1.9142,                  1.661,                 1.6998,             0.00086688,             0.00086688,             0.00086688
                    236,                 2.0783,                 1.7662,                 1.6776,                0.63137,                0.50303,                0.53461,                0.25637,                 1.9917,                 1.6972,                 1.7425,              0.0008667,              0.0008667,              0.0008667
                    237,                 2.1615,                 1.8337,                 1.7013,                0.62059,                0.51327,                0.54783,                0.25902,                  1.986,                 1.6832,                 1.7274,             0.00086652,             0.00086652,             0.00086652
                    238,                 2.0514,                 1.8362,                 1.6546,                 0.6177,                0.53793,                0.54538,                0.25233,                 2.0112,                 1.7687,                 1.7243,             0.00086634,             0.00086634,             0.00086634
                    239,                   2.05,                 1.7632,                 1.6526,                 0.5546,                0.49424,                0.53123,                0.24555,                 2.0091,                 1.7249,                 1.7071,             0.00086616,             0.00086616,             0.00086616
                    240,                 1.9991,                 1.7284,                 1.6675,                0.41306,                0.42869,                0.45173,                0.23086,                 2.0394,                 1.7471,                 1.7289,             0.00086598,             0.00086598,             0.00086598
                    241,                 1.9615,                 1.6877,                 1.6229,                0.56386,                0.52845,                0.52182,                  0.281,                 1.9837,                 1.6967,                 1.7008,              0.0008658,              0.0008658,              0.0008658
                    242,                 2.0379,                 1.7709,                 1.6746,                0.65887,                0.36766,                0.44553,                0.22336,                 2.0623,                 1.9167,                 1.7741,             0.00086562,             0.00086562,             0.00086562
                    243,                  1.993,                 1.7013,                 1.6352,                0.57662,                0.21335,                0.20351,                0.08743,                 2.3448,                  2.606,                 2.0062,             0.00086544,             0.00086544,             0.00086544
                    244,                 2.0263,                 1.6718,                  1.635,                0.58156,                0.19302,                0.18229,                0.07768,                 2.3753,                 2.3909,                  2.003,             0.00086526,             0.00086526,             0.00086526
                    245,                 2.0202,                 1.7264,                 1.6093,                0.64615,                0.21588,                  0.222,                0.10195,                 2.2225,                 2.2447,                 1.8956,             0.00086508,             0.00086508,             0.00086508
                    246,                 2.0111,                 1.7515,                 1.6503,                0.65838,                0.30558,                0.33622,                0.16591,                 2.0615,                  2.161,                 1.8229,              0.0008649,              0.0008649,              0.0008649
                    247,                  2.076,                 1.7961,                 1.6402,                0.58372,                0.32367,                0.35021,                0.17416,                 2.0467,                 2.1943,                 1.8261,             0.00086472,             0.00086472,             0.00086472
                    248,                 2.0603,                 1.7641,                 1.6913,                 0.5937,                0.15358,                0.12569,                0.04525,                  2.697,                 3.6524,                 2.4192,             0.00086454,             0.00086454,             0.00086454
                    249,                 2.0325,                 1.7738,                 1.6401,                  0.582,                0.16322,                0.15738,                0.06145,                 2.4914,                 3.0859,                 2.1768,             0.00086436,             0.00086436,             0.00086436
                    250,                 1.9887,                 1.7269,                 1.6588,                0.48812,                0.52144,                0.53258,                 0.2809,                 1.8624,                 1.6655,                 1.6593,             0.00086418,             0.00086418,             0.00086418
                    251,                 1.9791,                 1.6362,                 1.6341,                0.47084,                0.52031,                0.52392,                0.26818,                 1.8876,                 1.6369,                 1.6669,               0.000864,               0.000864,               0.000864
                    252,                 1.9582,                 1.6958,                 1.5903,                0.59318,                0.54056,                0.58936,                0.30473,                 1.9251,                 1.5612,                 1.6633,             0.00086382,             0.00086382,             0.00086382
                    253,                 2.0462,                 1.7193,                  1.574,                0.68085,                0.52072,                0.60039,                0.31148,                 1.9326,                 1.5284,                 1.6642,             0.00086364,             0.00086364,             0.00086364
                    254,                 1.9168,                 1.6815,                 1.5929,                0.69274,                0.54647,                0.62098,                0.31729,                 1.9166,                   1.51,                 1.6427,             0.00086346,             0.00086346,             0.00086346
                    255,                 1.9822,                 1.6257,                 1.5988,                0.67507,                0.56451,                0.61274,                0.30575,                 1.9474,                 1.5415,                 1.6511,             0.00086328,             0.00086328,             0.00086328
                    256,                 2.0114,                 1.7405,                 1.5977,                0.65841,                  0.544,                0.58135,                0.30651,                 1.9016,                 1.5454,                 1.6365,              0.0008631,              0.0008631,              0.0008631
                    257,                 1.9947,                 1.6692,                  1.615,                0.64842,                0.53197,                0.56491,                0.30718,                 1.8388,                 1.5815,                 1.6349,             0.00086292,             0.00086292,             0.00086292
                    258,                 1.9035,                 1.6309,                 1.5438,                0.57783,                0.52612,                0.55065,                0.28803,                 1.9016,                  1.683,                  1.669,             0.00086274,             0.00086274,             0.00086274
                    259,                 1.9792,                 1.6424,                 1.6179,                0.61957,                0.53065,                0.56494,                0.29018,                 1.9226,                 1.6542,                 1.6755,             0.00086256,             0.00086256,             0.00086256
                    260,                 2.0137,                 1.7026,                 1.6029,                0.72156,                0.50624,                0.60793,                0.32762,                 1.8681,                 1.5671,                 1.6563,             0.00086238,             0.00086238,             0.00086238
                    261,                 1.9313,                  1.685,                 1.6375,                0.67186,                 0.5466,                0.58724,                0.32403,                 1.8583,                 1.5879,                 1.6491,              0.0008622,              0.0008622,              0.0008622
                    262,                 2.0497,                 1.7498,                  1.673,                0.66299,                0.16079,                0.25308,                0.12098,                 2.2843,                 2.7683,                 2.0166,             0.00086202,             0.00086202,             0.00086202
                    263,                 1.9667,                 1.6189,                 1.5827,                 0.6577,                0.13604,                0.16926,                0.06808,                 2.5396,                 3.2919,                  2.349,             0.00086184,             0.00086184,             0.00086184
                    264,                 1.9932,                  1.703,                 1.6267,                0.62763,                0.25494,                0.37215,                0.17557,                 2.1674,                 2.5143,                 1.8623,             0.00086166,             0.00086166,             0.00086166
                    265,                 1.9724,                 1.7081,                 1.6323,                0.65581,                0.61634,                0.61486,                0.34042,                 1.8306,                 1.6068,                 1.6124,             0.00086148,             0.00086148,             0.00086148
                    266,                 1.9878,                 1.6798,                 1.6334,                0.67711,                 0.5855,                0.64589,                0.34605,                 1.8413,                 1.5207,                 1.6151,              0.0008613,              0.0008613,              0.0008613
                    267,                 1.9346,                 1.6283,                  1.599,                0.71764,                0.60343,                0.64666,                0.35563,                 1.8129,                 1.5119,                 1.6115,             0.00086112,             0.00086112,             0.00086112
                    268,                 1.9995,                 1.6535,                 1.6114,                0.63355,                0.53656,                0.57202,                0.30628,                 1.9163,                 1.7103,                 1.6912,             0.00086094,             0.00086094,             0.00086094
                    269,                 1.9799,                 1.6304,                 1.6003,                0.58831,                0.45036,                0.48294,                0.24035,                  1.961,                 1.8297,                 1.7235,             0.00086076,             0.00086076,             0.00086076
                    270,                  2.006,                 1.6385,                 1.5834,                0.50087,                0.27903,                0.24046,                0.10981,                 2.1353,                 2.3231,                 1.8265,             0.00086058,             0.00086058,             0.00086058
                    271,                 1.9814,                 1.6759,                 1.5693,                0.45136,                0.43953,                0.43352,                0.21465,                 2.0194,                 2.1052,                 1.7485,              0.0008604,              0.0008604,              0.0008604
                    272,                 1.9711,                 1.6672,                 1.6135,                0.57153,                0.54219,                 0.5505,                0.31004,                  1.843,                 1.7145,                 1.6448,             0.00086022,             0.00086022,             0.00086022
                    273,                 1.8939,                 1.6488,                 1.5576,                0.58927,                0.51546,                0.54511,                0.30521,                 1.8674,                 1.6817,                 1.6467,             0.00086004,             0.00086004,             0.00086004
                    274,                 1.9193,                 1.6992,                 1.5939,                0.63722,                0.45694,                0.53692,                0.29051,                 1.9045,                 1.6689,                 1.6452,             0.00085986,             0.00085986,             0.00085986
                    275,                 1.9878,                 1.6057,                 1.5711,                0.57843,                0.57034,                0.57825,                0.32687,                 1.8751,                 1.6048,                 1.6179,             0.00085968,             0.00085968,             0.00085968
                    276,                 1.9842,                 1.6823,                 1.6002,                0.64008,                0.14331,                0.15892,                0.06676,                 2.4494,                 2.7903,                 2.1418,              0.0008595,              0.0008595,              0.0008595
                    277,                 1.9453,                 1.6185,                 1.5768,                0.58377,                0.10686,                 0.1322,                0.05135,                 2.8129,                 3.1419,                 2.5125,             0.00085932,             0.00085932,             0.00085932
                    278,                 2.0174,                 1.6788,                 1.6016,                0.64147,                0.15267,                 0.1619,                0.06656,                 2.5044,                 2.8478,                 2.1327,             0.00085914,             0.00085914,             0.00085914
                    279,                 2.0011,                 1.6434,                  1.606,                0.58925,                 0.2864,                0.31425,                0.14412,                 2.0591,                 2.0372,                 1.7719,             0.00085897,             0.00085897,             0.00085897
                    280,                   1.94,                 1.6997,                 1.5749,                0.69222,                0.37599,                0.52442,                0.27637,                 1.8531,                 1.6472,                 1.6324,             0.00085879,             0.00085879,             0.00085879
                    281,                  1.865,                 1.5726,                 1.5739,                0.50489,                 0.5814,                0.58821,                0.32569,                 1.8033,                  1.597,                 1.6113,             0.00085861,             0.00085861,             0.00085861
                    282,                 1.8965,                 1.5864,                 1.5717,                0.67481,                0.58377,                0.63817,                0.33887,                 1.7397,                 1.4892,                 1.5862,             0.00085843,             0.00085843,             0.00085843
                    283,                 1.9415,                 1.6378,                 1.5982,                 0.7495,                0.57312,                0.66106,                0.35551,                 1.7047,                  1.424,                 1.5766,             0.00085825,             0.00085825,             0.00085825
                    284,                 1.8987,                  1.623,                 1.5977,                0.51074,                 0.3531,                0.31173,                0.14702,                 2.0046,                 1.9342,                 1.7577,             0.00085807,             0.00085807,             0.00085807
                    285,                 1.9268,                 1.6404,                 1.6093,                0.59751,                0.41088,                0.49338,                0.25689,                 1.8721,                 1.6929,                 1.6656,             0.00085789,             0.00085789,             0.00085789
                    286,                 1.8849,                 1.5812,                  1.573,                0.72095,                0.60613,                0.67324,                 0.3924,                  1.751,                 1.4577,                 1.5629,             0.00085771,             0.00085771,             0.00085771
                    287,                 1.9188,                 1.5948,                 1.5352,                0.68175,                0.58871,                0.65799,                0.36956,                   1.77,                 1.4812,                 1.5766,             0.00085753,             0.00085753,             0.00085753
                    288,                 1.9875,                 1.6574,                 1.5842,                0.60851,                0.33935,                0.34607,                0.15885,                 2.0167,                 1.8826,                 1.7599,             0.00085735,             0.00085735,             0.00085735
                    289,                 1.9262,                 1.6156,                 1.5536,                0.42166,                0.45265,                0.48194,                0.24073,                 1.8678,                 1.6397,                 1.6657,             0.00085717,             0.00085717,             0.00085717
                    290,                 1.8777,                  1.619,                 1.5877,                0.66841,                0.62286,                0.66574,                 0.3714,                 1.6645,                  1.415,                  1.543,             0.00085699,             0.00085699,             0.00085699
                    291,                 1.8947,                  1.575,                 1.5399,                0.67808,                0.59239,                0.66871,                0.37189,                 1.7203,                 1.4251,                 1.5598,             0.00085681,             0.00085681,             0.00085681
                    292,                 1.8555,                  1.532,                 1.5793,                0.63803,                0.41085,                0.47136,                0.22414,                 1.9197,                 1.6147,                 1.6773,             0.00085663,             0.00085663,             0.00085663
                    293,                 1.8685,                 1.5384,                 1.5235,                0.62142,                0.40179,                0.45973,                0.21598,                 1.9281,                 1.6322,                 1.6799,             0.00085645,             0.00085645,             0.00085645
                    294,                 1.9485,                 1.6185,                 1.5516,                0.66692,                0.53782,                0.61986,                0.34967,                 1.7727,                 1.5412,                 1.5728,             0.00085627,             0.00085627,             0.00085627
                    295,                 1.9362,                 1.5764,                 1.5451,                0.65601,                0.51243,                0.62027,                0.34518,                 1.7797,                 1.5707,                 1.5802,             0.00085609,             0.00085609,             0.00085609
                    296,                 1.9243,                 1.5637,                 1.6045,                0.56944,                0.56464,                0.60669,                0.33248,                 1.8082,                 1.5529,                 1.5872,             0.00085591,             0.00085591,             0.00085591
                    297,                 1.9344,                 1.5521,                 1.5373,                0.61664,                0.58505,                0.64055,                0.36155,                 1.7944,                 1.4581,                 1.5699,             0.00085573,             0.00085573,             0.00085573
                    298,                 1.8925,                 1.4973,                 1.5601,                0.67412,                0.65362,                0.70309,                0.40346,                  1.705,                 1.3613,                 1.5582,             0.00085555,             0.00085555,             0.00085555
                    299,                 1.8817,                 1.5664,                 1.5489,                0.65359,                0.61887,                0.64283,                 0.3512,                 1.7611,                 1.5105,                 1.5986,             0.00085537,             0.00085537,             0.00085537
                    300,                 1.8564,                 1.5439,                 1.5131,                0.58978,                0.44425,                0.47402,                0.23348,                 1.8647,                 1.6498,                 1.6513,             0.00085519,             0.00085519,             0.00085519
                    301,                  1.906,                 1.6003,                 1.5507,                0.60011,                0.41185,                0.43288,                0.20945,                  1.846,                 1.6335,                 1.6342,             0.00085501,             0.00085501,             0.00085501
                    302,                 1.8674,                  1.632,                  1.554,                0.69188,                0.51005,                0.63908,                0.33886,                 1.8065,                 1.4916,                 1.5595,             0.00085483,             0.00085483,             0.00085483
                    303,                 1.9473,                 1.6299,                 1.5692,                0.64379,                0.47074,                0.57329,                0.29887,                 1.8774,                 1.5878,                 1.6149,             0.00085465,             0.00085465,             0.00085465
                    304,                 1.9245,                 1.6451,                 1.5548,                0.54669,                0.54322,                0.59789,                0.31301,                 1.8328,                 1.5694,                   1.63,             0.00085447,             0.00085447,             0.00085447
                    305,                 1.8737,                 1.5852,                 1.5137,                0.60239,                0.51561,                0.60885,                0.32669,                 1.8055,                 1.5397,                 1.6227,             0.00085429,             0.00085429,             0.00085429
                    306,                 1.8757,                 1.5585,                 1.5156,                0.66942,                0.63901,                0.67882,                0.37429,                 1.7079,                 1.4187,                 1.5646,             0.00085411,             0.00085411,             0.00085411
                    307,                 1.8509,                 1.5793,                  1.559,                0.73278,                0.59907,                0.67977,                0.38443,                 1.7002,                 1.4196,                 1.5438,             0.00085393,             0.00085393,             0.00085393
                    308,                 1.8361,                 1.5775,                 1.5344,                0.67776,                0.62326,                0.64554,                0.35143,                 1.7573,                 1.5703,                  1.518,             0.00085375,             0.00085375,             0.00085375
                    309,                 1.9837,                 1.5767,                 1.5699,                0.62852,                0.63347,                0.62865,                0.34343,                 1.7921,                 1.6167,                 1.5366,             0.00085357,             0.00085357,             0.00085357
                    310,                 1.9908,                 1.6007,                 1.5729,                0.66137,                0.64834,                0.65057,                0.35435,                 1.6914,                 1.5418,                 1.5147,             0.00085339,             0.00085339,             0.00085339
                    311,                 1.8562,                   1.57,                 1.5425,                0.67142,                0.61428,                0.65075,                0.33324,                 1.6913,                  1.543,                 1.5276,             0.00085321,             0.00085321,             0.00085321
                    312,                 1.8748,                 1.6236,                 1.5351,                0.56195,                0.61039,                0.59531,                 0.3023,                 1.8306,                 1.5348,                  1.609,             0.00085303,             0.00085303,             0.00085303
                    313,                 1.9286,                 1.6406,                 1.5435,                0.48678,                0.54097,                0.51354,                0.25738,                 1.9354,                 1.7178,                 1.7179,             0.00085285,             0.00085285,             0.00085285
                    314,                 1.8446,                 1.5249,                 1.5212,                0.56529,                0.40685,                0.49112,                0.23571,                 1.9941,                 1.7833,                 1.7197,             0.00085267,             0.00085267,             0.00085267
                    315,                 1.8214,                 1.4889,                 1.5279,                0.44858,                0.34435,                0.36052,                0.16633,                 2.0502,                  1.908,                 1.7084,             0.00085249,             0.00085249,             0.00085249
                    316,                 1.9053,                 1.5375,                 1.5203,                0.41809,                0.29299,                0.28007,                0.12934,                 2.2471,                 2.2985,                 1.8107,             0.00085231,             0.00085231,             0.00085231
                    317,                 1.9569,                  1.633,                 1.5829,                0.45732,                0.35109,                0.40026,                0.19404,                 1.9673,                 1.8742,                 1.6643,             0.00085213,             0.00085213,             0.00085213
                    318,                 1.8995,                 1.5532,                 1.5232,                0.65255,                0.54408,                0.61568,                0.33367,                 1.8384,                  1.657,                 1.6189,             0.00085195,             0.00085195,             0.00085195
                    319,                 1.8645,                 1.5924,                 1.5622,                0.68253,                0.46092,                0.59803,                0.32225,                 1.8718,                  1.707,                 1.6449,             0.00085177,             0.00085177,             0.00085177
                    320,                 1.8703,                 1.5863,                 1.5527,                0.61921,                0.34431,                0.38132,                0.16475,                 2.0302,                  1.945,                 1.7607,             0.00085159,             0.00085159,             0.00085159
                    321,                  1.844,                 1.5372,                  1.508,                0.61816,                0.40921,                0.44769,                0.21026,                 1.9616,                 1.7503,                  1.724,             0.00085141,             0.00085141,             0.00085141
                    322,                 1.8857,                  1.515,                 1.5229,                0.65704,                0.61397,                0.68042,                0.37495,                 1.7289,                 1.4303,                 1.5786,             0.00085123,             0.00085123,             0.00085123
                    323,                 1.8197,                 1.4843,                 1.4865,                0.71559,                0.64815,                0.70436,                0.38134,                 1.7115,                 1.4038,                 1.5469,             0.00085105,             0.00085105,             0.00085105
                    324,                 1.8112,                  1.526,                 1.5322,                0.70504,                0.64065,                0.69447,                0.37436,                 1.7381,                 1.3849,                 1.5341,             0.00085087,             0.00085087,             0.00085087
                    325,                 1.8297,                 1.5204,                 1.4817,                0.65809,                0.62858,                0.67752,                0.37642,                 1.7495,                 1.4043,                 1.5395,             0.00085069,             0.00085069,             0.00085069
                    326,                 1.7787,                 1.4596,                 1.5076,                0.57398,                0.58671,                0.63541,                0.35823,                  1.752,                 1.5238,                 1.5727,             0.00085051,             0.00085051,             0.00085051
                    327,                  1.839,                  1.486,                 1.5094,                0.50493,                0.44457,                0.48621,                0.23611,                 1.9572,                 1.8607,                 1.7079,             0.00085033,             0.00085033,             0.00085033
                    328,                 1.8312,                 1.4768,                 1.5161,                0.72694,                 0.2346,                0.30082,                0.13761,                 2.1261,                 2.0152,                  1.807,             0.00085015,             0.00085015,             0.00085015
                    329,                 1.8134,                 1.5063,                 1.5137,                0.62029,                0.45511,                0.49788,                0.26036,                 1.8706,                 1.6635,                 1.6439,             0.00084997,             0.00084997,             0.00084997
                    330,                 1.8497,                 1.5246,                  1.505,                0.62364,                0.62739,                0.65379,                0.36701,                 1.6947,                 1.4284,                 1.5331,             0.00084979,             0.00084979,             0.00084979
                    331,                 1.7925,                 1.5399,                  1.505,                0.63856,                0.65264,                0.67036,                 0.3805,                 1.6808,                 1.3794,                 1.5195,             0.00084961,             0.00084961,             0.00084961
                    332,                 1.8966,                 1.5357,                 1.5262,                0.57637,                0.64151,                0.66325,                0.37544,                 1.6751,                 1.3676,                 1.5369,             0.00084943,             0.00084943,             0.00084943
                    333,                 1.7851,                 1.4849,                 1.4629,                0.67468,                0.36283,                 0.4543,                0.22353,                  1.876,                 1.7009,                 1.7008,             0.00084925,             0.00084925,             0.00084925
                    334,                 1.7973,                 1.4547,                 1.5055,                0.77046,                0.19793,                0.22286,                0.09982,                 2.2596,                 2.1798,                 1.9441,             0.00084907,             0.00084907,             0.00084907
                    335,                 1.7906,                 1.4683,                 1.4929,                0.54186,                0.51651,                0.54468,                0.25514,                 1.8204,                 1.4822,                 1.6092,             0.00084889,             0.00084889,             0.00084889
                    336,                 1.7842,                 1.4615,                 1.4699,                0.69427,                0.63173,                0.68015,                0.36826,                 1.6671,                 1.3026,                 1.5276,             0.00084871,             0.00084871,             0.00084871
                    337,                 1.7149,                 1.4512,                 1.4424,                 0.7036,                0.61827,                0.66797,                0.38044,                 1.6639,                 1.3229,                 1.5411,             0.00084853,             0.00084853,             0.00084853
                    338,                 1.8569,                 1.4706,                 1.5079,                0.57785,                0.61795,                0.66442,                0.36222,                 1.6622,                  1.374,                 1.5205,             0.00084835,             0.00084835,             0.00084835
                    339,                 1.8057,                 1.4817,                 1.5093,                0.59631,                0.64513,                0.67476,                0.35195,                  1.684,                 1.3959,                 1.5064,             0.00084817,             0.00084817,             0.00084817
                    340,                 1.8789,                 1.5077,                 1.4913,                0.59062,                0.63607,                0.66772,                0.36236,                 1.6922,                 1.4332,                 1.5032,             0.00084799,             0.00084799,             0.00084799
                    341,                  1.878,                 1.4909,                 1.4782,                0.68157,                0.59693,                0.66542,                0.37918,                  1.703,                 1.4794,                 1.5161,             0.00084781,             0.00084781,             0.00084781
                    342,                  1.872,                 1.5149,                 1.5433,                0.48804,                0.52251,                0.56024,                0.27356,                 1.8912,                 1.6517,                 1.6074,             0.00084763,             0.00084763,             0.00084763
                    343,                 1.8119,                 1.4808,                 1.4991,                0.56419,                0.38219,                0.43085,                 0.1912,                 1.9956,                 1.8971,                 1.6731,             0.00084745,             0.00084745,             0.00084745
                    344,                 1.8516,                 1.5297,                 1.4966,                0.70453,                0.18029,                0.19326,                0.08422,                 2.3878,                 2.6361,                 2.0184,             0.00084727,             0.00084727,             0.00084727
