                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 3.8516,                 3.6545,                 2.8049,                0.00174,                0.01537,                0.00083,                0.00018,                 3.8579,                 6.1581,                 2.8605,             0.00090306,             0.00090306,             0.00090306
                     35,                 3.9095,                 3.6083,                 2.8331,                0.28892,                0.01591,                0.00106,                0.00022,                 3.8228,                 5.4439,                   2.84,             0.00090288,             0.00090288,             0.00090288
                     36,                 3.8202,                 3.6297,                 2.8259,                0.43973,                0.00492,                 0.0014,                0.00025,                 3.9302,                 4.2497,                 2.9823,              0.0009027,              0.0009027,              0.0009027
                     37,                 3.6731,                 3.5379,                 2.7392,                0.43727,                 0.0093,                0.00153,                 0.0003,                  3.953,                 4.2627,                  2.989,             0.00090252,             0.00090252,             0.00090252
                     38,                  3.776,                 3.4956,                  2.764,                0.00471,                0.07214,                0.00291,                0.00091,                 3.8226,                  4.383,                   2.87,             0.00090234,             0.00090234,             0.00090234
                     39,                 3.6368,                 3.6723,                 2.7447,                0.00741,                0.10993,                0.00526,                0.00139,                 3.6269,                 4.6735,                 2.8147,             0.00090216,             0.00090216,             0.00090216
                     40,                 3.5762,                 3.5271,                 2.7531,                0.44325,                0.02164,                0.00654,                0.00134,                 3.5757,                 3.5839,                 2.7546,             0.00090198,             0.00090198,             0.00090198
                     41,                  3.623,                 3.3417,                 2.6635,                0.59239,                0.01842,                0.00583,                0.00123,                 3.5463,                 3.9965,                 2.7921,              0.0009018,              0.0009018,              0.0009018
                     42,                 3.8132,                 3.5133,                 2.7393,                 0.1628,                0.05541,                 0.0054,                0.00134,                 3.5965,                 5.2731,                 2.8069,             0.00090162,             0.00090162,             0.00090162
                     43,                 3.6293,                 3.3838,                 2.6992,                 0.0072,                0.09473,                0.00578,                0.00153,                 3.6189,                 5.0181,                 2.7314,             0.00090144,             0.00090144,             0.00090144
                     44,                 3.6078,                 3.3433,                 2.6468,                0.00153,                0.04196,                0.00096,                 0.0002,                 3.8536,                 5.1173,                 2.8238,             0.00090126,             0.00090126,             0.00090126
                     45,                  3.607,                 3.4709,                 2.7236,                0.00175,                0.05885,                0.00122,                0.00026,                 3.9872,                 4.4497,                 2.8739,             0.00090108,             0.00090108,             0.00090108
                     46,                 3.6148,                 3.5052,                 2.5578,                0.00118,                0.05215,                0.00108,                0.00026,                 3.9536,                   5.13,                  2.769,              0.0009009,              0.0009009,              0.0009009
                     47,                 3.5199,                 3.3311,                 2.6501,                0.00183,                0.07463,                 0.0015,                0.00031,                 3.8681,                 5.1655,                 2.6752,             0.00090072,             0.00090072,             0.00090072
                     48,                 3.5747,                 3.4774,                 2.6699,                 0.0024,                0.08634,                0.00178,                 0.0004,                 3.8299,                 5.2207,                 2.7074,             0.00090054,             0.00090054,             0.00090054
                     49,                 3.5306,                 3.4238,                  2.629,                0.00251,                0.08909,                0.00161,                0.00033,                 3.7036,                 4.8374,                 2.6827,             0.00090036,             0.00090036,             0.00090036
                     50,                 3.4467,                 3.3841,                 2.6122,                0.01425,                0.17226,                0.01543,                0.00372,                 3.5307,                 4.0176,                 2.6175,             0.00090018,             0.00090018,             0.00090018
                     51,                 3.3728,                  3.274,                 2.6539,                0.01163,                0.17758,                0.01604,                0.00396,                 3.5944,                 3.7965,                 2.6188,                 0.0009,                 0.0009,                 0.0009
                     52,                 3.4487,                 3.3278,                 2.5204,                0.00283,                0.07721,                0.00216,                0.00072,                 3.6348,                 5.0928,                 2.6559,             0.00089982,             0.00089982,             0.00089982
                     53,                 3.4398,                 3.3445,                 2.5265,                0.00311,                0.07749,                0.00326,                0.00111,                 3.6826,                 5.9112,                 2.7292,             0.00089964,             0.00089964,             0.00089964
                     54,                 3.4238,                 3.3461,                 2.6128,                0.00567,                0.08608,                0.00753,                0.00255,                 3.5036,                  5.118,                 2.6433,             0.00089946,             0.00089946,             0.00089946
                     55,                 3.3528,                 3.4264,                 2.5902,                0.02303,                0.17672,                 0.0198,                0.00667,                 3.4047,                  4.029,                  2.529,             0.00089928,             0.00089928,             0.00089928
                     56,                 3.3414,                 3.1625,                 2.4613,                0.00807,                0.07621,                0.00791,                0.00204,                 3.4198,                  4.554,                 2.6042,              0.0008991,              0.0008991,              0.0008991
                     57,                 3.2968,                 3.4324,                 2.5168,                0.01299,                0.05677,                 0.0102,                0.00114,                 3.5602,                 5.1159,                 2.6802,             0.00089892,             0.00089892,             0.00089892
                     58,                  3.467,                 3.3381,                 2.5133,                0.00473,                0.06625,                0.00458,                0.00147,                 3.5455,                 4.6795,                 2.5541,             0.00089874,             0.00089874,             0.00089874
                     59,                 3.3247,                 3.1805,                  2.513,                0.00336,                0.05373,                0.00265,                0.00076,                 3.6737,                 4.7596,                 2.6019,             0.00089856,             0.00089856,             0.00089856
                     60,                 3.3286,                 3.3198,                  2.565,                 0.5874,                0.01562,                0.01032,                0.00263,                 3.5162,                 4.6376,                 2.5347,             0.00089838,             0.00089838,             0.00089838
                     61,                 3.2677,                 3.1858,                 2.4521,                0.20847,                0.12477,                0.03488,                0.00823,                 3.4781,                 4.2365,                  2.532,              0.0008982,              0.0008982,              0.0008982
                     62,                 3.3138,                 3.1999,                 2.5072,                 0.0183,                0.23004,                0.03251,                 0.0084,                  3.536,                 4.0813,                 2.5841,             0.00089802,             0.00089802,             0.00089802
                     63,                 3.3022,                  3.149,                 2.4724,                0.01958,                0.26025,                0.03711,                0.01033,                 3.4417,                 3.7753,                 2.5751,             0.00089784,             0.00089784,             0.00089784
                     64,                 3.2663,                 3.1395,                 2.4578,                0.31145,                0.03089,                0.01781,                0.00509,                 3.4358,                 4.0896,                 2.5879,             0.00089766,             0.00089766,             0.00089766
                     65,                  3.282,                 3.1929,                 2.5014,                0.44973,                0.05189,                 0.0225,                0.00676,                 3.3402,                 3.9663,                 2.5337,             0.00089748,             0.00089748,             0.00089748
                     66,                 3.4076,                 3.1269,                  2.439,                0.31895,                0.06382,                0.03576,                0.01067,                 3.2597,                 3.5168,                 2.4834,              0.0008973,              0.0008973,              0.0008973
                     67,                 3.2598,                 2.9865,                 2.3016,                0.32966,                0.06551,                0.05285,                 0.0169,                  3.318,                 3.3685,                 2.4758,             0.00089712,             0.00089712,             0.00089712
                     68,                 3.3055,                 3.0429,                 2.4201,                0.02115,                0.26474,                0.05015,                0.01772,                 3.5282,                 3.4492,                 2.5403,             0.00089694,             0.00089694,             0.00089694
                     69,                 3.2158,                 3.0362,                  2.355,                0.02203,                0.22716,                0.03793,                0.01245,                 3.4782,                 3.5255,                 2.5224,             0.00089676,             0.00089676,             0.00089676
                     70,                  3.237,                 3.0812,                 2.3724,                0.33432,                0.03814,                0.02207,                0.00586,                 3.2681,                 3.7026,                 2.5433,             0.00089658,             0.00089658,             0.00089658
                     71,                 3.2326,                 3.0559,                 2.4338,                 0.3622,                0.05658,                0.01711,                0.00546,                  3.366,                 3.6754,                 2.6865,              0.0008964,              0.0008964,              0.0008964
                     72,                 3.1516,                 3.0334,                 2.4542,                0.30669,                0.09483,                0.07279,                0.02098,                 3.0721,                 3.1298,                 2.3964,             0.00089622,             0.00089622,             0.00089622
                     73,                   3.13,                 3.0536,                  2.407,                0.38313,                0.10849,                0.07975,                 0.0249,                 3.0956,                 3.1058,                 2.3779,             0.00089604,             0.00089604,             0.00089604
                     74,                 3.2242,                 3.0635,                 2.4338,                0.29442,                0.14663,                0.08649,                0.02376,                  3.343,                 3.2005,                 2.5455,             0.00089586,             0.00089586,             0.00089586
                     75,                 3.1512,                 3.0454,                 2.3518,                0.05125,                0.27747,                0.06626,                0.02164,                 3.3373,                 3.4562,                 2.5566,             0.00089568,             0.00089568,             0.00089568
                     76,                 3.1351,                 2.9477,                 2.3683,                0.34338,                0.02001,                0.00727,                0.00347,                 3.3882,                  5.007,                 2.6722,              0.0008955,              0.0008955,              0.0008955
                     77,                  3.084,                 2.9244,                 2.3026,                0.23734,                0.03015,                0.00615,                0.00247,                  3.391,                 5.1014,                 2.7106,             0.00089532,             0.00089532,             0.00089532
                     78,                  3.059,                 3.0474,                 2.3746,                0.43112,                0.01289,                0.00196,                0.00053,                 3.6256,                 6.1533,                 3.0717,             0.00089514,             0.00089514,             0.00089514
